rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
189,frame_0281.jpg,112.4,0.3925,0.534,0.125,0.44,7,1,False,False
190,frame_0025.jpg,10.0,0.3889,0.3777,0.0,1.0,4,0,False,False
191,frame_0192.jpg,76.8,0.3869,0.4688,0.375,0.2,5,3,False,False
192,frame_0194.jpg,77.6,0.3868,0.4366,0.375,0.28,5,3,False,False
193,frame_0273.jpg,109.2,0.3848,0.4216,0.5,0.12,7,4,False,False
194,frame_0315.jpg,126.0,0.384,0.57,0.25,0.12,7,2,False,False
195,frame_0218.jpg,87.2,0.3825,0.4709,0.25,0.36,3,2,False,False
196,frame_0216.jpg,86.4,0.3815,0.5119,0.125,0.44,4,1,False,False
197,frame_0103.jpg,41.2,0.3803,0.4717,0.375,0.16,6,3,False,False
198,frame_0189.jpg,75.6,0.38,0.578,0.25,0.08,4,2,False,False
199,frame_0370.jpg,148.0,0.3766,0.5122,0.375,0.04,8,3,False,False
200,frame_0171.jpg,68.4,0.3749,0.4238,0.25,0.44,7,2,False,False
201,frame_0310.jpg,124.0,0.374,0.491,0.375,0.08,5,3,False,False
202,frame_0119.jpg,47.6,0.373,0.329,0.375,0.48,6,3,False,False
203,frame_0193.jpg,77.2,0.3712,0.4215,0.375,0.24,6,3,False,False
204,frame_0085.jpg,34.0,0.3711,0.3683,0.25,0.56,6,2,False,False
205,frame_0027.jpg,10.8,0.3699,0.2648,0.125,1.0,6,1,False,False
206,frame_0382.jpg,152.8,0.3667,0.4763,0.375,0.08,9,3,False,False
207,frame_0108.jpg,43.2,0.3664,0.5668,0.25,0.04,7,2,False,False
208,frame_0180.jpg,72.0,0.3646,0.4722,0.375,0.08,6,3,False,False
209,frame_0269.jpg,107.6,0.3572,0.5484,0.25,0.04,8,2,False,False
210,frame_0219.jpg,87.6,0.356,0.359,0.375,0.32,4,3,False,False
211,frame_0221.jpg,88.4,0.3516,0.3822,0.375,0.24,6,3,False,False
212,frame_0381.jpg,152.4,0.3438,0.4467,0.375,0.04,8,3,False,False
213,frame_0213.jpg,85.2,0.3432,0.3124,0.25,0.56,4,2,False,False
214,frame_0226.jpg,90.4,0.343,0.52,0.25,0.04,6,2,False,False
215,frame_0399.jpg,159.6,0.3409,0.4198,0.25,0.28,7,2,False,False
216,frame_0372.jpg,148.8,0.3407,0.4085,0.375,0.12,10,3,False,False
217,frame_0204.jpg,81.6,0.34,0.333,0.125,0.68,2,1,False,False
218,frame_0101.jpg,40.4,0.3394,0.4968,0.25,0.08,7,2,False,False
219,frame_0196.jpg,78.4,0.3372,0.3805,0.25,0.36,3,2,False,False
220,frame_0094.jpg,37.6,0.3357,0.3663,0.375,0.2,6,3,False,False
221,frame_0091.jpg,36.4,0.331,0.3839,0.25,0.32,7,2,False,False
222,frame_0233.jpg,93.2,0.3288,0.4867,0.125,0.24,8,1,False,False
223,frame_0195.jpg,78.0,0.3278,0.3776,0.25,0.32,4,2,False,False
224,frame_0215.jpg,86.0,0.3275,0.3129,0.25,0.48,5,2,False,False
225,frame_0100.jpg,40.0,0.3267,0.4874,0.25,0.04,8,2,False,False
226,frame_0325.jpg,130.0,0.3251,0.4092,0.375,0.04,7,3,False,False
227,frame_0205.jpg,82.0,0.3237,0.2844,0.125,0.72,2,1,False,False
228,frame_0371.jpg,148.4,0.3226,0.3883,0.375,0.08,7,3,False,False
229,frame_0207.jpg,82.8,0.3142,0.2334,0.125,0.8,5,1,False,False
230,frame_0228.jpg,91.2,0.3141,0.4623,0.25,0.04,7,2,False,False
231,frame_0272.jpg,108.8,0.3127,0.3685,0.375,0.08,5,3,False,False
232,frame_0232.jpg,92.8,0.3107,0.4664,0.125,0.2,7,1,False,False
233,frame_0383.jpg,153.2,0.3104,0.4228,0.25,0.12,7,2,False,False
234,frame_0206.jpg,82.4,0.3093,0.2395,0.125,0.76,5,1,False,False
235,frame_0322.jpg,128.8,0.3046,0.3203,0.375,0.16,5,3,False,False
236,frame_0178.jpg,71.2,0.3045,0.3951,0.25,0.16,5,2,False,False
237,frame_0198.jpg,79.2,0.3011,0.3512,0.125,0.44,3,1,False,False
238,frame_0217.jpg,86.8,0.2962,0.2824,0.25,0.4,4,2,False,False
239,frame_0191.jpg,76.4,0.295,0.376,0.25,0.16,6,2,False,False
240,frame_0211.jpg,84.4,0.2858,0.2406,0.125,0.64,4,1,False,False
241,frame_0174.jpg,69.6,0.2854,0.3679,0.125,0.32,9,1,False,False
242,frame_0393.jpg,157.2,0.2808,0.3957,0.25,0.04,5,2,False,False
243,frame_0324.jpg,129.6,0.2804,0.4538,0.125,0.08,6,1,False,False
244,frame_0271.jpg,108.4,0.2776,0.4642,0.125,0.04,5,1,False,False
245,frame_0320.jpg,128.0,0.2741,0.3022,0.25,0.24,6,2,False,False
246,frame_0093.jpg,37.2,0.2702,0.2945,0.25,0.24,5,2,False,False
247,frame_0212.jpg,84.8,0.2639,0.2127,0.125,0.6,4,1,False,False
248,frame_0092.jpg,36.8,0.2595,0.332,0.125,0.28,4,1,False,False
249,frame_0190.jpg,76.0,0.2576,0.3922,0.125,0.12,4,1,False,False
250,frame_0199.jpg,79.6,0.2439,0.2208,0.125,0.48,3,1,False,False
251,frame_0323.jpg,129.2,0.2346,0.2711,0.25,0.12,5,2,False,False
252,frame_0224.jpg,89.6,0.2273,0.4066,0.0,0.12,7,0,False,False
253,frame_0110.jpg,44.0,0.2271,0.3313,0.125,0.12,3,1,False,False
254,frame_0311.jpg,124.4,0.2249,0.3588,0.125,0.04,5,1,False,False
255,frame_0313.jpg,125.2,0.2087,0.3263,0.125,0.04,5,1,False,False
256,frame_0102.jpg,40.8,0.1745,0.3011,0.0,0.12,5,0,False,False
